movie_name,movie_year,movie_desc,imdb_rating,Stars,Director,Writers
Thillu Mullu,1981,"Chandran , a young man fools his boss and attempts to woo his boss' daughter.",8.6,"Rajinikanth, Madhavi, Thengai Srinivasan",K. Balachander,"K. Balachander, Visu (dialogue)"
Vikram Vedha,2017,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",8.4,"Madhavan, Vijay Sethupathi, Shraddha Srinath","Gayatri, Pushkar","Manikandan (dialogue by), Gayatri "
