movie_name,movie_year,movie_desc,imdb_rating,Stars,Director,Writers
Vikram Vedha,2017,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",8.4,"Madhavan, Vijay Sethupathi, Shraddha Srinath","Gayatri, Pushkar","Manikandan (dialogue by), Gayatri "
Soodhu Kavvum,2013,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case.",8.3,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi",Nalan Kumarasamy,"Srinivas Kavinayam, Srinivasa Kavineyam"
Jigarthanda,2014,"An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.",8.3,"Siddharth, Bobby Simha, Lakshmi Menon",Karthik Subbaraj,"Karthik Subbaraj (story), Karthik Subbaraj"
